sample-id	sample_type	sample	genotype	species	resistance	local_sep	SampleID
S62-16S-Root-endo-16S	RE	D176 #8	D176	P. deltoides	deltoides	2.247526636	S62
S62-16S-Rhizo	RH	D176 #8	D176	P. deltoides	deltoides	273.2734687	S62
S03-16S-Root-endo-redo	RE	GW9823 #5	GW9823	P. trichocarpa	trichocarpa - resistant	11.15151567	S3
S10-16S-Leaf-Endo	LE	BESC835 #8	BESC835	P. trichocarpa	trichocarpa - resistant	14.91374245	S10
S10-16S-Root-endo-16S	RE	BESC835 #8	BESC835	P. trichocarpa	trichocarpa - resistant	5.117187725	S10
S10-16S-Rhizo	RH	BESC835 #8	BESC835	P. trichocarpa	trichocarpa - resistant	415.9736465	S10
S13-16S-Leaf-Endo	LE	BESC261 corv #6	BESC261	P. trichocarpa	trichocarpa - resistant	8.03134319	S13
S13-16S-Root-endo-16S	RE	BESC261 corv #6	BESC261	P. trichocarpa	trichocarpa - resistant	63.52854476	S13
S13-16S-Rhizo	RH	BESC261 corv #6	BESC261	P. trichocarpa	trichocarpa - resistant	741.7501896	S13
S14-16S-Leaf-Endo	LE	BESC22 corv #3	BESC22	P. trichocarpa	trichocarpa - resistant	4.833551262	S14
S14-16S-Root-endo-16S	RE	BESC22 corv #3	BESC22	P. trichocarpa	trichocarpa - resistant	15.38220123	S14
S14-16S-Rhizo	RH	BESC22 corv #3	BESC22	P. trichocarpa	trichocarpa - resistant	34.46620602	S14
S17-16S-Leaf-Endo	LE	GW9823 #35	GW9823	P. trichocarpa	trichocarpa - resistant	6.603964781	S17
S17-16S-Leaf-Endo-redo	LE	GW9823 #35	GW9823	P. trichocarpa	trichocarpa - resistant	6.603964781	S17
S17-16S-Leafwash-Endo-Endo	LW	GW9823 #35	GW9823	P. trichocarpa	trichocarpa - resistant	31.91572532	S17
S17-16S-Root-endo-16S	RE	GW9823 #35	GW9823	P. trichocarpa	trichocarpa - resistant	1.772668181	S17
S17-16S-Rhizo	RH	GW9823 #35	GW9823	P. trichocarpa	trichocarpa - resistant	5.634201179	S17
S24-16S-Root-endo-16S	RE	BESC835 #22	BESC835	P. trichocarpa	trichocarpa - resistant	0.583208082	S24
S24-16S-Rhizo	RH	BESC835 #22	BESC835	P. trichocarpa	trichocarpa - resistant	77.33820972	S24
S26-16S-Leaf-Endo	LE	BESC261 corv # 11	BESC261	P. trichocarpa	trichocarpa - resistant	11.85568561	S26
S26-16S-Leaf-wash-redo	LW	BESC261 corv # 11	BESC261	P. trichocarpa	trichocarpa - resistant	13.59859138	S26
S26-16S-Leafwash-16S_run3	LW	BESC261 corv # 11	BESC261	P. trichocarpa	trichocarpa - resistant	13.59859138	S26
S26-16S-Leafwash-Endo-Endo	LW	BESC261 corv # 11	BESC261	P. trichocarpa	trichocarpa - resistant	13.59859138	S26
S26-16S-Root-endo-16S	RE	BESC261 corv # 11	BESC261	P. trichocarpa	trichocarpa - resistant	254.9769811	S26
S26-16S-Rhizo	RH	BESC261 corv # 11	BESC261	P. trichocarpa	trichocarpa - resistant	18.20878007	S26
S27-16S-Leaf-Endo	LE	BESC22 corv #7	BESC22	P. trichocarpa	trichocarpa - resistant	19.78205478	S27
S27-16S-Leaf-Endo-redo	LE	BESC22 corv #7	BESC22	P. trichocarpa	trichocarpa - resistant	19.78205478	S27
S27-16S-Leaf-wash-redo	LW	BESC22 corv #7	BESC22	P. trichocarpa	trichocarpa - resistant	3.746570818	S27
S27-16S-Leafwash-16S_run3	LW	BESC22 corv #7	BESC22	P. trichocarpa	trichocarpa - resistant	3.746570818	S27
S27-16S-Leafwash-Endo-Endo	LW	BESC22 corv #7	BESC22	P. trichocarpa	trichocarpa - resistant	3.746570818	S27
S27-16S-Root-endo-16S	RE	BESC22 corv #7	BESC22	P. trichocarpa	trichocarpa - resistant	8.756175315	S27
S27-16S-Rhizo	RH	BESC22 corv #7	BESC22	P. trichocarpa	trichocarpa - resistant	239.8834725	S27
S3-16S-Leaf-Endo	LE	GW9823 #5	GW9823	P. trichocarpa	trichocarpa - resistant	28.41957414	S3
