sample-id	sample_type	sample	genotype	species	resistance	SampleID
S58-ITS-Leaf-Endo	LE	BESC148 corv #7	BESC148	P. trichocarpa	trichocarpa - susceptible	S58
S58-ITS-Leafwash-Endo-Endo	LW	BESC148 corv #7	BESC148	P. trichocarpa	trichocarpa - susceptible	S58
S58-ITS-Rhizo	RH	BESC148 corv #7	BESC148	P. trichocarpa	trichocarpa - susceptible	S58
S58-ITS-Root-endo-ITS	RE	BESC148 corv #7	BESC148	P. trichocarpa	trichocarpa - susceptible	S58
S58-ITS-Root-endo-ITS_run3	RE	BESC148 corv #7	BESC148	P. trichocarpa	trichocarpa - susceptible	S58
S58-ITS-Root-endo-run2	RE	BESC148 corv #7	BESC148	P. trichocarpa	trichocarpa - susceptible	S58
S6-ITS-Leafwash-Endo-Endo	LW	BESC71 #9	BESC71	P. trichocarpa	trichocarpa - susceptible	S6
S6-ITS-Rhizo	RH	BESC71 #9	BESC71	P. trichocarpa	trichocarpa - susceptible	S6
S6-ITS-Root-endo-ITS	RE	BESC71 #9	BESC71	P. trichocarpa	trichocarpa - susceptible	S6
S64-ITS-Leaf-Endo	LE	BESC801 #29	BESC801	P. trichocarpa	trichocarpa - susceptible	S64
S64-ITS-Leafwash-Endo-Endo	LW	BESC801 #29	BESC801	P. trichocarpa	trichocarpa - susceptible	S64
S64-ITS-Rhizo	RH	BESC801 #29	BESC801	P. trichocarpa	trichocarpa - susceptible	S64
S64-ITS-Root-endo-ITS	RE	BESC801 #29	BESC801	P. trichocarpa	trichocarpa - susceptible	S64
S64-ITS-Root-endo-ITS_run3	RE	BESC801 #29	BESC801	P. trichocarpa	trichocarpa - susceptible	S64
S65-ITS-Leaf-Endo	LE	BESC801 corv #14	BESC801	P. trichocarpa	trichocarpa - susceptible	S65
S65-ITS-Leafwash-Endo-Endo	LW	BESC801 corv #14	BESC801	P. trichocarpa	trichocarpa - susceptible	S65
S65-ITS-Rhizo	RH	BESC801 corv #14	BESC801	P. trichocarpa	trichocarpa - susceptible	S65
S65-ITS-Root-endo-ITS	RE	BESC801 corv #14	BESC801	P. trichocarpa	trichocarpa - susceptible	S65
S65-ITS-Root-endo-ITS_run3	RE	BESC801 corv #14	BESC801	P. trichocarpa	trichocarpa - susceptible	S65
S66-ITS-Leaf-Endo	LE	BESC71 #21	BESC71	P. trichocarpa	trichocarpa - susceptible	S66
S66-ITS-Leafwash-Endo-Endo	LW	BESC71 #21	BESC71	P. trichocarpa	trichocarpa - susceptible	S66
S66-ITS-Rhizo-run2	RH	BESC71 #20	BESC71	P. trichocarpa	trichocarpa - susceptible	S66
S66-ITS-Root-endo-ITS	RE	BESC71 #21	BESC71	P. trichocarpa	trichocarpa - susceptible	S66
S67-ITS-Leaf-Endo	LE	BESC71 corv #7	BESC71	P. trichocarpa	trichocarpa - susceptible	S67
S67-ITS-Leafwash-Endo-Endo	LW	BESC71 corv #7	BESC71	P. trichocarpa	trichocarpa - susceptible	S67
S67-ITS-Rhizo-run2	RH	BESC71 corv #7	BESC71	P. trichocarpa	trichocarpa - susceptible	S67
S67-ITS-Root-endo-ITS	RE	BESC71 corv #7	BESC71	P. trichocarpa	trichocarpa - susceptible	S67
S67-ITS-Root-endo-redo	RE	BESC71 corv #7	BESC71	P. trichocarpa	trichocarpa - susceptible	S67
S68-ITS-Leaf-Endo-redo	LE	BESC103 #27	BESC103	P. trichocarpa	trichocarpa - susceptible	S68
S68-ITS-Leafwash-Endo-Endo	LW	BESC103 #27	BESC103	P. trichocarpa	trichocarpa - susceptible	S68
S68-ITS-Rhizo-ITS_run3	RH	BESC103 #27	BESC103	P. trichocarpa	trichocarpa - susceptible	S68
S68-ITS-Rhizo-run2	RH	BESC103 #27	BESC103	P. trichocarpa	trichocarpa - susceptible	S68
S68-ITS-Root-endo-ITS	RE	BESC103 #27	BESC103	P. trichocarpa	trichocarpa - susceptible	S68
S69-ITS-Leaf-Endo	LE	BESC103 corv #9 	BESC103	P. trichocarpa	trichocarpa - susceptible	S69
S69-ITS-Leafwash-Endo-Endo	LW	BESC103 corv #9 	BESC103	P. trichocarpa	trichocarpa - susceptible	S69
S69-ITS-Rhizo-run2	RH	BESC103 corv #9 	BESC103	P. trichocarpa	trichocarpa - susceptible	S69
S69-ITS-Root-endo-ITS	RE	BESC103 corv #9 	BESC103	P. trichocarpa	trichocarpa - susceptible	S69
S69-ITS-Root-endo-ITS_run3	RE	BESC103 corv #9 	BESC103	P. trichocarpa	trichocarpa - susceptible	S69
S69-ITS-Root-endo-redo	RE	BESC103 corv #9 	BESC103	P. trichocarpa	trichocarpa - susceptible	S69
S7-ITS-Leaf-Endo	LE	BESC71 corv #5	BESC71	P. trichocarpa	trichocarpa - susceptible	S7
S7-ITS-Rhizo	RH	BESC71 corv #5	BESC71	P. trichocarpa	trichocarpa - susceptible	S7
S7-ITS-Root-endo-ITS	RE	BESC71 corv #5	BESC71	P. trichocarpa	trichocarpa - susceptible	S7
S71-ITS-Leaf-Endo	LE	BESC148 corv #9	BESC148	P. trichocarpa	trichocarpa - susceptible	S71
S71-ITS-Leaf-Endo-redo	LE	BESC148 corv #9	BESC148	P. trichocarpa	trichocarpa - susceptible	S71
S71-ITS-Leafwash-Endo-Endo	LW	BESC148 corv #9	BESC148	P. trichocarpa	trichocarpa - susceptible	S71
S71-ITS-Rhizo-run2	RH	BESC148 corv #9	BESC148	P. trichocarpa	trichocarpa - susceptible	S71
S71-ITS-Root-endo-ITS	RE	BESC148 corv #9	BESC148	P. trichocarpa	trichocarpa - susceptible	S71
S71-ITS-Root-endo-ITS_run3	RE	BESC148 corv #9	BESC148	P. trichocarpa	trichocarpa - susceptible	S71
S76-ITS-Leaf-Endo	LE	BESC148 #8	BESC148	P. trichocarpa	trichocarpa - susceptible	S76
S76-ITS-Leafwash-Endo-Endo	LW	BESC148 #8	BESC148	P. trichocarpa	trichocarpa - susceptible	S76
S76-ITS-Rhizo-run2	RH	BESC148 #8	BESC148	P. trichocarpa	trichocarpa - susceptible	S76
S76-ITS-Root-endo-ITS	RE	BESC148 #8	BESC148	P. trichocarpa	trichocarpa - susceptible	S76
S76-ITS-Root-endo-redo	RE	BESC148 #8	BESC148	P. trichocarpa	trichocarpa - susceptible	S76
S8-ITS-Rhizo	RH	BESC103 #7	BESC103	P. trichocarpa	trichocarpa - susceptible	S8
S8-ITS-Root-endo-ITS	RE	BESC103 #7	BESC103	P. trichocarpa	trichocarpa - susceptible	S8
S9-ITS-Leaf-Endo	LE	BESC103 corv #6	BESC103	P. trichocarpa	trichocarpa - susceptible	S9
S9-ITS-Rhizo	RH	BESC103 corv #6	BESC103	P. trichocarpa	trichocarpa - susceptible	S9
S9-ITS-Root-endo-ITS	RE	BESC103 corv #6	BESC103	P. trichocarpa	trichocarpa - susceptible	S9
